Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
62,GraphQL Get Repo PRs,graphql_1,537.79,3237
62,GraphQL Get Repo PRs More Info,graphql_2,1027.17,27078
63,REST List Repos,rest,376.39,36311
63,GraphQL List Repos,graphql_1,617.38,1006
63,GraphQL List Repos More Info,graphql_2,1225.66,21604
63,REST Get Repo PRs,rest,799.88,1168277
63,GraphQL Get Repo PRs,graphql_1,427.07,3237
63,GraphQL Get Repo PRs More Info,graphql_2,821.92,27078
64,REST List Repos,rest,375.22,36311
64,GraphQL List Repos,graphql_1,515.73,1006
64,GraphQL List Repos More Info,graphql_2,1230.18,21604
64,REST Get Repo PRs,rest,667.40,1168277
64,GraphQL Get Repo PRs,graphql_1,454.06,3237
64,GraphQL Get Repo PRs More Info,graphql_2,1127.92,27078
65,REST List Repos,rest,318.48,36311
65,GraphQL List Repos,graphql_1,467.32,1006
65,GraphQL List Repos More Info,graphql_2,1535.73,21604
65,REST Get Repo PRs,rest,732.90,1168277
65,GraphQL Get Repo PRs,graphql_1,495.47,3237
65,GraphQL Get Repo PRs More Info,graphql_2,920.97,27078
66,REST List Repos,rest,378.57,36311
66,GraphQL List Repos,graphql_1,513.30,1006
66,GraphQL List Repos More Info,graphql_2,2147.92,21604
66,REST Get Repo PRs,rest,781.99,1168277
66,GraphQL Get Repo PRs,graphql_1,446.12,3237
66,GraphQL Get Repo PRs More Info,graphql_2,1128.90,27078
67,REST List Repos,rest,376.05,36311
67,GraphQL List Repos,graphql_1,409.04,1006
67,GraphQL List Repos More Info,graphql_2,1332.10,21604
67,REST Get Repo PRs,rest,777.38,1168277
67,GraphQL Get Repo PRs,graphql_1,552.86,3237
67,GraphQL Get Repo PRs More Info,graphql_2,920.66,27078
68,REST List Repos,rest,380.08,36311
68,GraphQL List Repos,graphql_1,491.06,1006
68,GraphQL List Repos More Info,graphql_2,1759.60,21604
68,REST Get Repo PRs,rest,897.81,1168277
68,GraphQL Get Repo PRs,graphql_1,536.58,3237
68,GraphQL Get Repo PRs More Info,graphql_2,817.17,27078
69,REST List Repos,rest,381.05,36311
69,GraphQL List Repos,graphql_1,408.60,1006
69,GraphQL List Repos More Info,graphql_2,1328.91,21604
69,REST Get Repo PRs,rest,783.22,1168277
69,GraphQL Get Repo PRs,graphql_1,444.84,3237
69,GraphQL Get Repo PRs More Info,graphql_2,1026.42,27078
70,REST List Repos,rest,376.34,36311
70,GraphQL List Repos,graphql_1,819.87,1006
70,GraphQL List Repos More Info,graphql_2,1230.91,21604
70,REST Get Repo PRs,rest,763.52,1168277
70,GraphQL Get Repo PRs,graphql_1,461.53,3237
70,GraphQL Get Repo PRs More Info,graphql_2,924.04,27078
71,REST List Repos,rest,377.25,36311
71,GraphQL List Repos,graphql_1,510.46,1006
71,GraphQL List Repos More Info,graphql_2,2020.33,21604
71,REST Get Repo PRs,rest,808.26,1168277
71,GraphQL Get Repo PRs,graphql_1,440.67,3237
71,GraphQL Get Repo PRs More Info,graphql_2,827.38,27078
72,REST List Repos,rest,375.75,36311
72,GraphQL List Repos,graphql_1,511.44,1006
72,GraphQL List Repos More Info,graphql_2,1229.77,21604
72,REST Get Repo PRs,rest,886.69,1168277
72,GraphQL Get Repo PRs,graphql_1,442.55,3237
72,GraphQL Get Repo PRs More Info,graphql_2,921.64,27078
73,REST List Repos,rest,379.00,36311
73,GraphQL List Repos,graphql_1,616.22,1006
73,GraphQL List Repos More Info,graphql_2,1432.83,21604
73,REST Get Repo PRs,rest,893.07,1168277
73,GraphQL Get Repo PRs,graphql_1,506.31,3237
73,GraphQL Get Repo PRs More Info,graphql_2,851.42,27078
74,REST List Repos,rest,380.39,36311
74,GraphQL List Repos,graphql_1,511.09,1006
74,GraphQL List Repos More Info,graphql_2,1635.87,21604
74,REST Get Repo PRs,rest,686.67,1168277
74,GraphQL Get Repo PRs,graphql_1,541.81,3237
74,GraphQL Get Repo PRs More Info,graphql_2,921.35,27078
